speed,scale
0,0.200000
10,0.200000
20,0.200000
30,0.200000
40,0.200000
50,0.200000
60,0.200000
70,0.200000
80,0.200000
90,0.200000
100,0.200000
110,0.200000
120,0.200000
130,0.200000
140,0.200000
150,0.200000
160,0.200000
170,0.200000
180,0.200000
190,0.200000
200,0.200000
210,0.200000
220,0.200000
230,0.200000
240,0.200000
250,0.200000
260,0.200000
270,0.200000
280,0.200000
290,0.200000
300,0.200000
310,0.200000
320,0.200002
330,0.200008
340,0.200019
350,0.200036
360,0.200063
370,0.200100
380,0.200149
390,0.200213
400,0.200292
410,0.200388
420,0.200504
430,0.200641
440,0.200800
450,0.200984
460,0.201194
470,0.201432
480,0.201700
490,0.202000
500,0.202332
510,0.202700
520,0.203104
530,0.203547
540,0.204030
550,0.204555
560,0.205124
570,0.205738
580,0.206400
590,0.207110
600,0.207872
610,0.208685
620,0.209553
630,0.210477
640,0.211459
650,0.212500
660,0.213602
670,0.214768
680,0.215998
690,0.217294
700,0.218659
710,0.220094
720,0.221600
730,0.223180
740,0.224835
750,0.226567
760,0.228378
770,0.230269
780,0.232243
790,0.234300
800,0.236443
810,0.238674
820,0.240994
830,0.243404
840,0.245908
850,0.248506
860,0.251200
870,0.253992
880,0.256884
890,0.259877
900,0.262974
910,0.266175
920,0.269483
930,0.272900
940,0.276427
950,0.280066
960,0.283818
970,0.287686
980,0.291671
990,0.295775
1000,0.300000
1010,0.304347
1020,0.308819
1030,0.313416
1040,0.318141
1050,0.322996
1060,0.327981
1070,0.333100
1080,0.338353
1090,0.343743
1100,0.349271
1110,0.354939
1120,0.360749
1130,0.366702
1140,0.372800
1150,0.379045
1160,0.385439
1170,0.391983
1180,0.398680
1190,0.405530
1200,0.412536
1210,0.419700
1220,0.427023
1230,0.434506
1240,0.442153
1250,0.449964
1260,0.457941
1270,0.466085
1280,0.474400
1290,0.482886
1300,0.491545
1310,0.500379
1320,0.509390
1330,0.518579
1340,0.527949
1350,0.537500
1360,0.547235
1370,0.557155
1380,0.567263
1390,0.577559
1400,0.588047
1410,0.598726
1420,0.609600
1430,0.620670
1440,0.631937
1450,0.643404
1460,0.655072
1470,0.666943
1480,0.679018
1490,0.691300
1500,0.703790
1510,0.716490
1520,0.729402
1530,0.742527
1540,0.755867
1550,0.769424
1560,0.783200
1570,0.797196
1580,0.811415
1590,0.825857
1600,0.840525
1610,0.855420
1620,0.870545
1630,0.885900
1640,0.901488
1650,0.917310
1660,0.933369
1670,0.949666
1680,0.966202
1690,0.982979
1700,1.000000
1710,1.000000
1720,1.000000
1730,1.000000
1740,1.000000
1750,1.000000
1760,1.000000
1770,1.000000
1780,1.000000
1790,1.000000
1800,1.000000
1810,1.000000
1820,1.000000
1830,1.000000
1840,1.000000
1850,1.000000
1860,1.000000
1870,1.000000
1880,1.000000
1890,1.000000
1900,1.000000
1910,1.000000
1920,1.000000
1930,1.000000
1940,1.000000
1950,1.000000
1960,1.000000
1970,1.000000
1980,1.000000
1990,1.000000
2000,1.000000
